address,allocation
0x67e5ab5b573f01030a1076dda7a79ef0f31a1bfa,750
0x8c2e67bd3d0f432ef75d9ae6623cd0dfbce66050,750
0x5e93941a8f3aede7788188b6cb8092b6e57d02a6,750
0xd9ffaf2e880df0cc7b7104e9e789d281a81824cf,750
0x4c5472116fe8fdc491428899aa7f3b2d8e631896,750
0x9b62df1d49b9cc63fedc468072cfa8362c5e9278,750
0x9281f4d044a1c67e7647148ed5ace6d63221315a,750
0xc5c5b53438a7fc9cddea4f0ded2d12fbf75b6c76,750
0x60d38778adbbeeac88f741b833cbb9877228eea0,750
0xbeb3502e6ea7603c57550d23ad93e786261a6272,750
0x38e65476b916bc573160ec219aecef5e8e233e81,750
0xe38d978e500242e5e6df46be5dc1bd47cb06555f,750
0x217b9dcec0a24312364966ae7c745a347ee4eb97,750
0xd5c539f38f302cfba476a2d3ba358b59ff9bd125,750
0x8da02d597a2616e9ec0c82b2b8366b00d69da29a,750
0x8bca9f3016a33b1e34135d5f536e46ed541f1a28,750
0x938a08f5e2832727d1d51789b8dc9bd54a9cc28e,750
0xdd2a825f1e6399b9b19c09c40457a730f295ac8b,750
0x32ccaf20c89e76cb3f0e35276532fc4e9976fd10,750
0xb5cea31da16b89e07af23b19f9fcff086b5ff687,750
0x67df00c77e53c809a579b6d4aa0ec54cadaeacf6,750
0xd9d9bf6337dd4a304b4545d06b85c970cd1f98a4,750
0x149c71d8ab708a29cac5df3a847403c7810b2c2c,750
0x2fbf312bec813210187075c2b098d515137c06a9,750
0xf2f2fd3aadfae4bc8d15bccb4f650f604bf63b18,750
0xaabfb2c7604a6cf7fb390bfcd078a2bdafb70d90,750
0xd7ae5de2f4373b6ef31d1c18096629cbfa6fda47,750
0xc52ec2aea5e8d58841a37c338834cd0bbeadc99e,750
0xb20a327c9b4da091f454b1ce0e2e4dc5c128b5b4,750
0xc51fefb9ef83f2d300448b22db6fac032f96df3f,750
0xfd3e7d8018c6e72a3e772c973d34567d6824dbb4,750
0x97a60da377d12542fa9b843abdb45473a927dfda,750
0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,750
0x148e2ed011a9eaaa200795f62889d68153eeacde,714
0x217c70a564a9bc0572426fc068eff0caf70e6b41,714
0x704330a41116e066f0cab51f0819b9c06a81bfac,714
0xa097dfce90ab5a90ed850f4fb8881066ea0fbab3,714
0x7a97484f57d98a62b0195d79b9600624744de59c,714
0x000000000000000000000000000000000000dead,714
0x29746c9d6b317c6df26ac1751d6cb03a55c1b8d5,714
0x822b454196d281d43a3e127db3d37b7c0d78ab92,714
0x297bf847dcb01f3e870515628b36eabad491e5e8,714
0x4d00af255c2886da69287c6fadf059ac874e1933,714
0x97b8fdfacf37dd68376198b7fcffec3c0846f593,714
0x1a53eaaf5cf566ddf85adf900abb59cec028b657,714
0x9a9c32a37e5c147159891e94d897f54c74dba368,714
0x1a5b3eb121846c9505e271067f6fef7fa7ebb5f1,714
0xf3b1b6e83be4d55695f1d30ac3d307d9d5ca98ff,714
0x187dad1e0dd5e599091c2ec88e89afb4cde4b7a3,714
0xf3d9281fa183b74f32b96e1c5244596045f4ede8,714
0xd906979081fcb040f00213e86fb887a12de2c495,714
0x4194ce73ac3fbbece8ffa878c2b5a8c90333e724,714
0x0481ac68cc3cb70f71c537c9cc14a6ddc29881b1,714
0xa6887c232863658054e25dfdeeec37f22dd4076f,714
0x7bc1d6e8150d4c96917901c26c922dd64654b3c3,714
0x317ee88f1b78182c4514371bcbf1488b176fcc5a,714
0x98d539ae90481e921fd9fb826500f2af06337555,714
0xf627e5f4bad95a956468d8bb6ee20b119f992e96,714
0x4acf5fcd324390f050a817edd41cf1d60edbb384,714
0xd2403b941246f1d17cad6e49e28664cbd4f4bca5,714
0xb9c5747e56277def127678def8cf2308badb948b,714
0xe5d73547eda3f675da0e10e5888fe9b05de534b3,714
0xedbc171e88e1d1fcd4f945b52d1c1b6ab3a4f5d6,714
0x1bb0481ca2bc7bbdaf36c7b19623cebcff097028,714
0x8bf03086eda24dbe2a73964017c8d9cd592de5d0,714
0x74c1213eda337e47fb7c72a55ab03eaa1e3c8366,714
0x41c3fa96942d19043450ec963eb4df44336d8035,714
0x58c8c7caca63db386a5cd58b55d3489aef9ebdf5,714
0xb42ff0fa9f6a9a0f814455c13a60a1f9088ba7b3,714
0xef889de3be0ead7d4b2074756740e5efb567581f,714
0xf47ec7c789b52a82f5ca312244ddafd1a91ee55c,714
0x30a189710f75c6b60b96081f12b288abededa260,714
0xc5c236a8a300c23ef84e5159a5ff3a92f2c59f10,714
0xd0aee284d4b8ee835c3c4a9e78dc72d360ed453a,714
0xe307c2d3236be4706e5d7601ee39f16d796d8195,714
0x35749ee47fdd5d700db235b71fc8082a761141f9,714
0xd441b7e82e11d66b981f879fb1d4720876ec941b,714
0x7d1c093b56b4c6a3edd9fd710f87292b73e78ea3,714
0x5a384227b65fa093dec03ec34e111db80a040615,714
0x5758ab4f6f323507c9bd079f2b247840c753287f,714
0x505e20c0fb8252ca7ac21d54d5432eccd4f2d076,714
0x7fc29f7c06a5c2442de8b0ce01747b6419ef8894,714
0xe13374eb1714c48590a86d26e662efddc2409296,571
0xbe734db7e0be22a7d2370ff6b495de2e6c40f800,571
0x56b6ae8609ef719478e84c7605ae9604816d699e,571
0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,571
0xaadfd5dc40fc365f3a89a0cebdae493b6b528cdd,571
0x096234723ed2ba030a26814b46397e684278aff3,571
0x1ba919573d46464a24e636c8966b61e947e3ed25,571
0xb98e58cb458b5bea1d8c83c37e17893e399abdf7,571
0x27a07b3f48de901725f75c1e2d1c150e3d07701c,571
0x5fe785b2f589c79c89dbbafa217bd7dedd8c918b,571
0x0048d02963b97445a012ad6d44bd38a0239c5b88,571
0x408e68023e12bfc7d29ca7d3656395d3de0749e0,571
0xd6dbb26c261cf669cecb144e2c149e886dfa2e28,571
0x9909017a0f637380af916257d05c3e7dd2f6c68a,571
0x5743c8aa25794a7afe9ad987df8488120d15524e,571
0xf3f84b2a2f8b5b9f320101c9804dc62768e228d8,571
0x3bbbcbc1c0b584f61ed746096e7b67c6bc2dac93,571
0x6b9a9c31214fbcb2265e2a6331e5b8487217503f,535
0xaaa8a090e78724c8e3f3de407205fff160017568,535
0x9097cdff0329382df4a17e86195cc664385656cb,535
0xe5bfab544eca83849c53464f85b7164375bdaac1,535
0x00290ffc9e9d19bda7b25c6e44d8adf55dfbf2dd,535
0x58473e9ac681c4424ca74619281ff71801d002d6,535
0x32802f989b4348a51dd0e61d23b78be1a0543469,535
0x1d90899e3b283a51ed825dd388a6f825a89f70c3,535
0xaa71f3669de789d88aeb8df7e52403792c4aa2bf,535
0xf9963dbe9438a5ecb62e5e7c2c081c3d12d48dd5,535
0xe887517cb0cd2210170b81cd3f5548570e024f45,535
0xc63fc0ae83555e2553762edd887433573f77cfc2,535
0xb9d70d6fb25a0cd7e14e2997580e0eed4b09d26b,535
0x3bf0f2caac44d853be372cb0286b00ddbad98767,535
0x2b053ae11104925fee42db51843875a9712236a0,535
0xdd45f56bd7b0390a31e3c5ee88a200a9591bc361,535
0x53fc455b233dd970c2d2c1bf2f3fa5543df660eb,535
0x5684f1c91f59daeb6cf9da054753d9d4439a539c,535
0x9bc20560301cdc15c3190f745b6d910167d4b467,535
0x6d9a2ec158a9bb480247769896a044e1b9567aa4,535
0x7e5ce10826ee167de897d262fcc9976f609ecd2b,535
0x03c322db3f0d92ccdf6f8b6effd4031c94bed1ab,535
0x6be450972b30891b16c8588dcbc10c8c2aef04da,535
0x39641f100d99036a29c01a34fa9fbefb98257380,535
0xbd9425dd654dbb1e1804430df5723c279a0a86b7,535
0x8a286b1bbfddf7296c497e99d5900005a09831d2,535
0x7827b2ce869af8d192985718674419c2c21bf850,535
0x6e197f6a971364d0b798246d8e9f748a622da463,535
0xef8305e140ac520225daf050e2f71d5fbcc543e7,535
0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,535
0x5ad32c7aee7f06575ee0740cda8e6bd095cc3919,535
0xbfd7ddd26653a7706146895d6e314af42f7b18d5,535
0xd595634abf15938db7c1ca7e8923651434379faf,535
0x0d23e2107fb2564343de28543545bcccc0b52574,535
0x942cbea64876ff0b2e23c0712b37dc0091804e9c,535
0x50560bcac974e8ffb2ae2c359614623147a96105,535
0x8a333a18b924554d6e83ef9e9944de6260f61d3b,535
0xff18298382948028f9d93c4e32be1382204022c8,535
0xa598a0086e053e4d90532fb1269d92901dd8e034,535
0xeb95ff72eab9e8d8fdb545fe15587accf410b42e,535
0x68a7ac13477aad590982293feeeb786a00276cf2,535
0x0fc84e15aeb7907a76a221169d80d3eb06cdb44b,535
0x4defa30195094963cfac7285d8d6e6e523c7f90d,535
0xced608aa29bb92185d9b6340adcbfa263dae075b,535
0xc7bf5da444c923aaa80d77d288e86f3246dd4170,535
0x7d396bf1e141dd530bd2e3d50ac20246618b8cb2,535
0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6,535
0xcf1ce1496f4367f700e440f4707ad6fea8df1e23,535
0x8b8db5b327a3d051367d78b4a028722ee06555f1,535
0x5ab45fb874701d910140e58ea62518566709c408,535
0xdff3e75750963dba6fc85f0e0016ebb3a51c8ff6,535
0x0e2b9b97a9ac289776c4ad1021c163d145d3d83c,512
0x4c7bedfa26c744e6bd61cbdf86f3fc4a76dca073,512
0x48c3f2762c9e811bbc2e5dfbe0bb6bd36dec5247,512
0xa2b2fbcac668d86265c45f62da80aaf3fd1dede3,512
0x81e5cd19323ce7f6b36c9511fbc98d477a188b13,512
0xe3afc6b73b3e2eb36186f2e4bbc01b8aff5cb773,512
0x7556cc553036e8e67ca77b72fca81657988de13e,512
0x25981260dd48274abb39d48ed3cd96384522c217,512
0x99ec37c145060fe7ee9e346c3d40cb7fd28ed80f,512
